runnumber,run_time,number_of_events,number_of_tracks,number_of_tracks_PIX,number_of_tracks_FPIX,number_of_tracks_BPIX,number_of_tracks_TID,number_of_tracks_TIDM,number_of_tracks_TIDP,number_of_tracks_TIB,number_of_tracks_TEC,number_of_tracks_TECP,number_of_tracks_TECM,number_of_tracks_TOB,number_of_tracks_TID_1,number_of_tracks_TID_1_plus,number_of_tracks_TID_1_minus,number_of_tracks_TID_2,number_of_tracks_TID_2_plus,number_of_tracks_TID_2_minus,number_of_tracks_TID_3,number_of_tracks_TID_3_plus,number_of_tracks_TID_3_minus,number_of_tracks_TEC_1,number_of_tracks_TEC_1_plus,number_of_tracks_TEC_1_minus,number_of_tracks_TEC_2,number_of_tracks_TEC_2_plus,number_of_tracks_TEC_2_minus,number_of_tracks_TEC_3,number_of_tracks_TEC_3_plus,number_of_tracks_TEC_3_minus,number_of_tracks_TEC_4,number_of_tracks_TEC_4_plus,number_of_tracks_TEC_4_minus,number_of_tracks_TEC_5,number_of_tracks_TEC_5_plus,number_of_tracks_TEC_5_minus,number_of_tracks_TEC_6,number_of_tracks_TEC_6_plus,number_of_tracks_TEC_6_minus,number_of_tracks_TEC_7,number_of_tracks_TEC_7_plus,number_of_tracks_TEC_7_minus,number_of_tracks_TEC_8,number_of_tracks_TEC_8_plus,number_of_tracks_TEC_8_minus,number_of_tracks_TEC_9,number_of_tracks_TEC_9_plus,number_of_tracks_TEC_9_minus
344423,9623   ,35375,20219,1759,421,1392,2494,1229,1265,10309,2507,1146,1367,19432,1265,613,652,801,434,367,781,418,363,1953,902,1056,1711,790,925,1464,669,797,1189,533,658,1056,494,564,833,421,414,589,311,280,388,210,179,213,125,88
344424,1687   ,6346,3691,322,90,238,458,239,220,1853,463,222,242,3544,230,103,127,152,79,74,145,69,77,372,185,188,323,149,175,268,113,156,220,101,120,187,94,94,144,80,65,116,64,53,82,49,34,49,33,16
344426,610    ,2354,1358,100,18,85,171,84,87,658,177,87,91,1300,81,43,38,54,27,27,59,29,30,133,67,67,118,57,61,95,43,52,86,38,48,71,33,38,52,22,30,39,19,20,25,13,12,11,8,3
344430,90     ,4,2,0,0,0,1,0,1,1,1,1,1,2,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
344432,76     ,245,141,15,6,11,14,6,8,71,23,8,15,135,8,5,3,5,3,2,3,2,1,16,7,9,14,4,10,10,3,7,11,4,7,12,4,8,9,3,6,6,2,4,5,2,3,1,0,1
344433,963    ,3587,2074,179,44,142,264,136,128,1030,261,123,138,2000,131,55,76,96,54,42,87,52,35,204,99,105,173,84,89,140,64,76,116,55,61,100,48,52,78,40,38,59,31,28,42,23,19,25,13,12
344434,473    ,1660,980,105,29,79,131,66,65,472,124,56,69,949,64,30,34,46,22,24,35,18,17,105,46,59,85,36,49,60,28,33,48,20,29,40,18,22,34,13,21,23,11,12,13,6,7,7,3,4
344436,154    ,649,364,0,0,0,47,22,25,175,46,16,30,352,26,15,11,16,9,7,14,6,8,36,12,24,32,12,20,24,9,15,19,8,11,16,5,11,13,5,8,10,4,6,6,2,4,4,1,3
344420,12333  ,45152,26134,2207,526,1757,3094,1554,1541,13195,3298,1451,1855,25128,1550,746,805,1080,567,514,952,502,451,2643,1161,1488,2250,1005,1252,1898,854,1051,1511,686,831,1303,601,707,1065,521,548,723,381,346,515,279,238,294,169,126
344421,283    ,1080,629,51,12,40,76,39,37,309,87,43,44,602,43,20,23,22,12,10,26,15,11,65,29,36,59,32,27,53,27,26,38,18,20,29,14,15,33,18,15,20,11,9,8,7,1,7,5,2
344423,48590  ,179122,103730,9309,2337,7272,12613,6281,6335,52479,13214,5842,7397,99609,6224,2916,3310,4207,2249,1960,4111,2226,1887,10364,4617,5769,8903,3926,5000,7480,3195,4305,6107,2604,3519,5308,2376,2945,4232,2048,2195,2950,1517,1440,2015,1062,960,1176,661,519
343266,31936  ,22784,13109,743,294,452,1471,656,816,6791,1246,600,650,12685,736,393,344,483,259,224,413,251,163,1007,492,518,785,342,447,657,276,385,527,209,319,453,180,275,361,142,222,243,96,149,182,71,113,116,44,73
343268,7652   ,1412,804,50,19,31,94,41,53,428,74,30,45,778,50,25,25,32,19,13,27,16,11,58,26,33,47,16,31,49,17,33,34,10,24,26,9,17,22,9,13,17,7,10,12,4,8,8,2,6
343375,296    ,107,60,0,0,0,7,2,5,39,5,2,3,59,6,4,2,1,0,1,1,1,0,5,2,3,3,0,3,4,1,3,3,1,2,2,1,1,2,1,1,1,0,1,1,0,1,1,0,1
343385,405    ,518,299,0,0,0,29,12,17,165,28,16,12,288,14,10,4,10,4,6,7,4,3,25,15,10,18,11,7,12,5,7,11,2,9,11,5,6,8,4,4,2,1,1,2,1,1,1,1,0
343386,332    ,174,111,0,0,0,11,4,7,56,9,5,4,108,5,3,2,7,4,3,0,0,0,8,5,3,6,3,3,5,3,2,3,1,2,3,1,2,2,0,2,2,0,2,2,0,2,1,0,1
343387,2582   ,9849,5508,276,120,159,738,322,416,2745,749,408,341,5300,357,178,179,254,149,105,257,143,114,610,341,269,500,258,242,413,203,210,326,143,183,291,130,161,234,101,133,168,63,105,117,36,81,67,17,50
343001,163    ,580,318,0,0,0,0,0,0,0,29,14,15,307,0,0,0,0,0,0,0,0,0,20,10,10,18,11,7,17,10,7,11,5,6,12,6,6,10,5,5,8,5,3,4,3,1,2,2,0
343004,359    ,1351,788,0,0,0,0,0,0,0,72,34,38,757,0,0,0,0,0,0,0,0,0,62,32,30,46,23,23,42,20,22,33,12,21,30,14,16,23,6,17,20,5,15,9,2,7,6,1,5
343005,443    ,1537,943,0,0,0,0,0,0,0,96,48,49,915,0,0,0,0,0,0,0,0,0,76,39,38,57,28,29,41,14,27,24,10,14,28,10,18,25,10,15,14,6,8,10,2,8,5,0,5
343007,6918   ,2533,637,0,0,0,0,0,0,0,637,265,375,0,0,0,0,0,0,0,0,0,0,444,184,263,472,195,278,505,206,302,508,205,306,515,205,313,456,194,265,344,150,196,237,109,129,143,65,79
343009,1461   ,4522,2687,0,0,0,0,0,0,0,287,139,148,2575,0,0,0,0,0,0,0,0,0,211,109,102,178,85,93,158,68,90,129,56,73,110,51,59,95,38,57,72,28,44,56,24,32,29,11,18
343018,2931   ,10652,6290,0,0,0,0,0,0,0,651,328,324,6043,0,0,0,0,0,0,0,0,0,509,269,241,427,209,219,350,164,187,296,150,147,264,123,142,224,95,130,153,65,89,106,51,56,65,30,36
343025,14     ,59,36,0,0,0,0,0,0,0,4,3,1,36,0,0,0,0,0,0,0,0,0,4,3,1,2,2,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
343018,36     ,217,130,0,0,0,0,0,0,0,12,3,9,125,0,0,0,0,0,0,0,0,0,7,3,4,7,3,4,8,3,5,5,1,4,7,1,6,3,0,3,3,1,2,3,1,2,1,0,1
